Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Reaction Time (ms),-Avg Time Delay (ms),,Average (ms),226.9836495
0,0,0,0.276729375,,276.729375,276.2475704,,Standard Deviation (ms),34.66196709
0,2,0,0.226831702,,226.831702,226.3498974,,Standard Error (ms),4.47484071
0,0,0,0.221947247,,221.947247,221.4654424,,,
0,0,0,0.221746912,,221.746912,221.2651074,,,
0,2,0,0.247812916,,247.812916,247.3311114,,,
0,2,0,0.224019924,,224.019924,223.5381194,,,
0,0,0,0.217713659,,217.713659,217.2318544,,,
0,0,0,0.26128703,,261.28703,260.8052254,,,
0,0,0,0.241163497,,241.163497,240.6816924,,,
0,0,0,0.2299605,,229.9605,229.4786954,,,
0,2,0,0.255289266,,255.289266,254.8074614,,,
0,2,0,0.235012288,,235.012288,234.5304834,,,
0,0,0,0.263616651,,263.616651,263.1348464,,,
0,2,0,0.233135929,,233.135929,232.6541244,,,
0,2,0,0.231942816,,231.942816,231.4610114,,,
0,2,0,0.212837409,,212.837409,212.3556044,,,
0,2,0,0.220185606,,220.185606,219.7038014,,,
0,2,0,0.235852838,,235.852838,235.3710334,,,
0,2,0,0.231409703,,231.409703,230.9278984,,,
0,0,0,0.230289674,,230.289674,229.8078694,,,
0,2,0,0.215138779,,215.138779,214.6569744,,,
0,2,0,0.22920647,,229.20647,228.7246654,,,
0,2,0,0.229308863,,229.308863,228.8270584,,,
0,2,0,0.203399288,,203.399288,202.9174834,,,
0,0,0,0.256533986,,256.533986,256.0521814,,,
0,0,0,0.226975945,,226.975945,226.4941404,,,
0,0,0,0.213560376,,213.560376,213.0785714,,,
0,2,0,0.218415439,,218.415439,217.9336344,,,
0,0,0,0.356601546,,356.601546,356.1197414,,,
0,2,0,0.213432223,,213.432223,212.9504184,,,
0,0,0,0.24392366,,243.92366,243.4418554,,,
0,0,0,0.228924816,,228.924816,228.4430114,,,
0,2,0,0.194904071,,194.904071,194.4222664,,,
0,0,0,0.231945981,,231.945981,231.4641764,,,
0,0,0,0.217742221,,217.742221,217.2604164,,,
0,2,0,0.233410018,,233.410018,232.9282134,,,
0,0,0,0.19495662,,194.95662,194.4748154,,,
0,2,0,0.230592793,,230.592793,230.1109884,,,
0,2,0,0.245692457,,245.692457,245.2106524,,,
0,0,0,0.200336955,,200.336955,199.8551504,,,
0,2,0,0.226258235,,226.258235,225.7764304,,,
0,0,0,0.247939237,,247.939237,247.4574324,,,
0,2,0,0.251649473,,251.649473,251.1676684,,,
0,2,0,0.27572356,,275.72356,275.2417554,,,
0,0,0,0.225758924,,225.758924,225.2771194,,,
0,0,0,0.233283229,,233.283229,232.8014244,,,
0,0,0,0.234306472,,234.306472,233.8246674,,,
0,2,0,0.222872726,,222.872726,222.3909214,,,
0,2,0,0.248393031,,248.393031,247.9112264,,,
0,2,0,0.244081061,,244.081061,243.5992564,,,
0,0,0,0.267368249,,267.368249,266.8864444,,,
0,2,0,0.185806354,,185.806354,185.3245494,,,
0,0,0,0.207702005,,207.702005,207.2202004,,,
0,0,0,0.215186311,,215.186311,214.7045064,,,
0,0,0,0.222480636,,222.480636,221.9988314,,,
0,2,0,0.203098837,,203.098837,202.6170324,,,
0,0,0,0.200250807,,200.250807,199.7690024,,,
0,0,0,0.215534548,,215.534548,215.0527434,,,
0,2,0,0.151089589,,151.089589,150.6077844,,,
0,0,0,0.065356518,,65.356518,64.87471337,,,