Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,
90,2,0,0.356986115,,356.986115
90,0,0,0.340665269,,340.665269
90,2,0,0.24346034,,243.46034
0,0,0,0.398951005,,398.951005
90,2,0,0.420084343,,420.084343
90,0,0,0.35123208,,351.23208
0,2,0,0.339091215,,339.091215
0,2,0,0.351744775,,351.744775
0,2,0,0.334050546,,334.050546
90,0,0,0.382257328,,382.257328
0,0,0,0.439441678,,439.441678
0,2,0,0.439795418,,439.795418
90,0,0,0.464929312,,464.929312
90,2,0,0.386551352,,386.551352
90,0,0,0.385118571,,385.118571
0,2,0,0.438203873,,438.203873
0,0,0,0.396560749,,396.560749
90,0,0,0.334747516,,334.747516
0,0,0,0.545649085,,545.649085
0,0,0,0.333124542,,333.124542
90,2,0,0.400913321,,400.913321
0,0,0,0.389510489,,389.510489
90,2,0,0.438276451,,438.276451
90,2,0,0.341658421,,341.658421
90,2,0,0.289398462,,289.398462
0,0,0,0.289909624,,289.909624
0,2,0,0.293709087,,293.709087
0,2,0,0.2641165,,264.1165
90,0,0,0.366830394,,366.830394
0,0,0,0.229489531,,229.489531
0,0,0,0.384134182,,384.134182
0,0,0,0.322846804,,322.846804
0,0,0,0.369140465,,369.140465
0,2,0,0.321838142,,321.838142
90,2,0,0.454489084,,454.489084
90,2,0,0.323198723,,323.198723
90,2,0,0.274058735,,274.058735
90,2,0,0.348036541,,348.036541
90,2,0,0.371430678,,371.430678
0,0,0,0.411234195,,411.234195
0,2,0,0.325638738,,325.638738
90,0,0,0.411079047,,411.079047
0,0,0,0.438021798,,438.021798
0,0,0,0.339664241,,339.664241
90,2,0,0.387227843,,387.227843
0,0,0,0.437635676,,437.635676
0,0,0,0.350839007,,350.839007
90,2,0,0.439011112,,439.011112
90,0,0,0.305060741,,305.060741
0,2,0,0.388461,,388.461
90,0,0,0.367559841,,367.559841
0,0,0,0.437185321,,437.185321
0,2,0,0.419661197,,419.661197
90,2,0,0.408687562,,408.687562
90,2,0,0.237593093,,237.593093
90,2,0,0.495805528,,495.805528
90,0,0,0.496556001,,496.556001
90,2,0,0.411596238,,411.596238
0,0,0,0.374760885,,374.760885
0,0,0,0.510332668,,510.332668