Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,,Subtract Time Delay/1000,,,,,,Milliseconds
0,0,0,0.409730225,,,0.354730225,,,,,,354.730225
0,2,0,0.455091118,,,0.400091118,,,,,,400.091118
90,0,0,0.373402869,,,0.318402869,,,,,,318.402869
90,2,0,0.572530031,,,0.517530031,,,,,,517.530031
90,0,0,0.474800259,,,0.419800259,,,,,,419.800259
0,2,0,0.499958909,,,0.444958909,,,,,,444.958909
0,0,0,0.557813256,,,0.502813256,,,Average,0.444402618,,502.813256
0,2,0,0.393564683,,,0.338564683,,,,,,338.564683
90,0,0,0.440139403,,,0.385139403,,,Std Dev,0.122550334,,385.139403
0,2,0,0.49888204,,,0.44388204,,,,,,443.88204
90,2,0,0.612848311,,,0.557848311,,,,,,557.848311
90,0,0,0.431268408,,,0.376268408,,,,,,376.268408
0,2,0,0.540666926,,,0.485666926,,,,,,485.666926
0,0,0,0.464803097,,,0.409803097,,,,,,409.803097
90,0,0,0.814927356,,,0.759927356,,,,,,759.927356
90,2,0,0.386028387,,,0.331028387,,,,,,331.028387
0,2,0,0.542838604,,,0.487838604,,,,,,487.838604
0,2,0,0.485793834,,,0.430793834,,,,,,430.793834
0,0,0,0.426837602,,,0.371837602,,,,,,371.837602
0,0,0,0.421710504,,,0.366710504,,,,,,366.710504
90,2,0,0.427430231,,,0.372430231,,,,,,372.430231
90,0,0,0.374982964,,,0.319982964,,,,,,319.982964
90,2,0,0.391528788,,,0.336528788,,,,,,336.528788
0,2,0,0.376671516,,,0.321671516,,,,,,321.671516
90,2,0,0.674230725,,,0.619230725,,,,,,619.230725
90,0,0,0.394925823,,,0.339925823,,,,,,339.925823
0,0,0,0.597622123,,,0.542622123,,,,,,542.622123
90,0,0,0.865903018,,,0.810903018,,,,,,810.903018
90,2,0,0.494794702,,,0.439794702,,,,,,439.794702
90,0,0,0.580352832,,,0.525352832,,,,,,525.352832