Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Reaction Time (ms),- Avg Time Delay (ms),,Average (ms),539.6379499
0,0,0,0.554969998,,554.969998,554.4881934,,Standard Deviation (ms),167.9423164
0,2,0,0.358030813,,358.030813,357.5490084,,Standard Error (ms),21.68125982
0,0,0,0.415504054,,415.504054,415.0222494,,,
0,0,0,0.332580182,,332.580182,332.0983774,,,
0,0,0,0.34507024,,345.07024,344.5884354,,,
0,0,0,0.342053733,,342.053733,341.5719284,,,
90,0,0,0.576773515,,576.773515,576.2917104,,,
45,2,0,0.392042185,,392.042185,391.5603804,,,
0,2,0,0.862918642,,862.918642,862.4368374,,,
90,2,0,0.394899945,,394.899945,394.4181404,,,
45,2,0,0.438553299,,438.553299,438.0714944,,,
0,0,0,0.384451863,,384.451863,383.9700584,,,
0,0,0,0.65908621,,659.08621,658.6044054,,,
0,2,0,0.344189107,,344.189107,343.7073024,,,
45,0,0,0.58480804,,584.80804,584.3262354,,,
45,2,0,0.428120013,,428.120013,427.6382084,,,
90,2,0,0.764438337,,764.438337,763.9565324,,,
45,0,0,0.611376148,,611.376148,610.8943434,,,
90,0,0,0.782690801,,782.690801,782.2089964,,,
90,0,0,0.933381295,,933.381295,932.8994904,,,
90,2,0,0.44193732,,441.93732,441.4555154,,,
90,2,0,0.431492067,,431.492067,431.0102624,,,
45,2,0,0.402483409,,402.483409,402.0016044,,,
45,0,0,0.864719142,,864.719142,864.2373374,,,
90,2,0,0.613717666,,613.717666,613.2358614,,,
45,2,0,0.373152821,,373.152821,372.6710164,,,
0,2,0,0.951983486,,951.983486,951.5016814,,,
0,2,0,0.410460657,,410.460657,409.9788524,,,
90,2,0,0.367491066,,367.491066,367.0092614,,,
0,0,0,0.769178175,,769.178175,768.6963704,,,
90,0,0,0.828455284,,828.455284,827.9734794,,,
45,0,0,0.354677639,,354.677639,354.1958344,,,
0,0,0,0.494093703,,494.093703,493.6118984,,,
90,0,0,0.420141657,,420.141657,419.6598524,,,
45,2,0,0.363324307,,363.324307,362.8425024,,,
0,0,0,0.393652596,,393.652596,393.1707914,,,
45,2,0,0.640350674,,640.350674,639.8688694,,,
45,2,0,0.638726455,,638.726455,638.2446504,,,
45,2,0,0.530559823,,530.559823,530.0780184,,,
90,0,0,0.349417087,,349.417087,348.9352824,,,
90,2,0,0.476581495,,476.581495,476.0996904,,,
90,0,0,0.436636941,,436.636941,436.1551364,,,
90,2,0,0.511559468,,511.559468,511.0776634,,,
45,2,0,0.583199596,,583.199596,582.7177914,,,
0,0,0,0.383394559,,383.394559,382.9127544,,,
45,2,0,0.578643057,,578.643057,578.1612524,,,
90,0,0,0.619978764,,619.978764,619.4969594,,,
45,2,0,0.591211483,,591.211483,590.7296784,,,
90,2,0,0.611125435,,611.125435,610.6436304,,,
0,0,0,0.552532399,,552.532399,552.0505944,,,
90,2,0,0.590812005,,590.812005,590.3302004,,,
90,0,0,0.454529312,,454.529312,454.0475074,,,
0,2,0,0.670751431,,670.751431,670.2696264,,,
90,0,0,0.413549213,,413.549213,413.0674084,,,
90,2,0,0.44972891,,449.72891,449.2471054,,,
0,0,0,0.499523611,,499.523611,499.0418064,,,
0,0,0,0.828666592,,828.666592,828.1847874,,,
90,2,0,0.627971743,,627.971743,627.4899384,,,
45,0,0,0.551846594,,551.846594,551.3647894,,,
0,0,0,0.828989213,,828.989213,828.5074084,,,